twitter_link,text,date,likes,comments
https://twitter.com/dapitnih/status/1739970963880689984#m,"Anies mengatakan ini utk mengkritik kebijakan subsidi mobil listrik, persis apa yg pernah sy sampaikan soal kebijakan politis mendukung industri otomotif  Padahal yg benar harusnya mendorong kebijakan transportasi publik agar polusi berkurang  Oh iya gw tanya, sumber listriknya darimana bro?","Dec 27, 2023 · 11:26 AM UTC",49,7
https://twitter.com/terkinidotid/status/1740147826846495003#m,"Pakai Mobil Listrik, PLN Buktikan Penghematan sampai 85 Persen Rute Perjalanan Makassar - Toraja Utara: Sebagai salah satu bentuk dukungan dalam mengembangkan kawasan wisata yang bebas polusi dan ramah… dlvr.it/T0gSTV #Tator #Mobillistrik #Pln #Penghematan85persen","Dec 27, 2023 · 11:09 PM UTC",1,0
https://twitter.com/pln_sulselrabar/status/1739945457357656550#m,"*Gunakan Mobil Listrik, ternyata 85 Persen Lebih Hemat lho*  Electrizen, sebagai salah satu bentuk dukungan dalam mengembangkan kawasan wisata yang bebas polusi dan ramah lingkungan khususnya di Kabupaten Tana Toraja dan Toraja Utara, PLN melaksanakan kegiatan","Dec 27, 2023 · 9:44 AM UTC",0,1
https://twitter.com/PemiluDamai2024/status/1739498896005734886#m,"Polusi itu maslah di slrh Kota besar dunia, duniapun belum ada cara baru utk atasi polusi udara, caranya tutup Pembangkit Listrik Energi Fosil ganti dg Pembangkit Listrik EBT, larang tambahan Mobil baru BBM, ganti dg Mobil Listrik & ini tugas & tanggung jawab  Pemerintah Pusat.","Dec 26, 2023 · 4:10 AM UTC",0,0
https://twitter.com/sienchao/status/1739133157839085767#m,"Sedangkan Carbon Capture dan Storage mmg harusnya bisa jadi topik yg hot berkaitan dgn polusi udara jakarta dan isu mobil-motor listrik, indonesia penghasil nikel terbesar dunia, bahkan prof mahfud jg 'mengaku' sudah menyiapkan berjilid² ttg CSS tp jawabnya tdk tepat.","Dec 25, 2023 · 3:57 AM UTC",0,1
https://twitter.com/Zuhry0204/status/1739097867414130695#m,"Kl mai liat 80 T itu utk apa saja kan tinggal fi liat Web nya pemprov DKI kl khusus polusi udah dijelasin dgn uji emisi,mobil listrik utk angkutan umum,memperbaiki fasilitas transportasi umum supaya semakin banyak yg pakai transportasi umum","Dec 25, 2023 · 1:36 AM UTC",0,0
https://twitter.com/dwirendra01/status/1738153472766386237#m,fakta bahwa mobil listrik lebih boros polusi ketimbang bis diesel dengan itungan perkapita. jadi kalo ada 40orang masing2 pake mobil listrik itu nyumbang lebih banyak polusi ketimbang 40orang yg secara bersamaan naik bus  yang bermesin diesel.,"Dec 22, 2023 · 11:04 AM UTC",0,0
https://twitter.com/MrxMM46/status/1738047412579729880#m,"Mobil listrik ngisi baterai nya pake listrik pln (PLTU), yg mana bahan bakar nya dari batubara yg jadi penghasil polusi terbesar di banten, jakarta dan sekitar nya ☺️, kecuali kalau nanti listrik nya udah dihasilkan dari tenaga surya atau angin","Dec 22, 2023 · 4:02 AM UTC",0,0
https://twitter.com/MrxMM46/status/1738046837976887574#m,"Mobil listrik ngisi baterai nya pake listrik pln (PLTU), yg mana bahan bakar nya dari batubara yg jadi penghasil polusi terbesar di banten, jakarta dan sekitar nya ☺️","Dec 22, 2023 · 4:00 AM UTC",1,0
https://twitter.com/d_f_a_g/status/1738003533440675884#m,"klo dengerin cuma sepotong2 ya gitu, jadi gila, krn bego. konklusinya itu mendorong penggunaan transportasi publik & lebih baik bis berbasis listrik drpd mendorong penggunaan mobil pribadi berbasis listrik krn dampaknya tidak signifikan mengurangi polusi.  gitu aja hrs dijelasin.","Dec 22, 2023 · 1:08 AM UTC",2,1
https://twitter.com/semogakelar/status/1737752974263521734#m,"Gajuga mas kak, waktu itu bilang mobil listrik dll itu membuat masalah dibandingkan mobil berbahan bakar.  Tp skrg bilangnya cara mengatasai polusi dengan mengelektrifikasi kendaraan. Msh ada lagi yg lain.  Agak bingung aja pas denger perkataan beliau ko disana beda sini beda","Dec 21, 2023 · 8:32 AM UTC",0,1
https://twitter.com/RupertPupkin818/status/1737584388127244381#m,"1. Debat itu tema ny bukan soal polusi. Debat pertama soal ham, hukum.  2. Polusi? Dari 20 tahun lalu, jkt polusi tinggi. Pusat ekonomi, pusat industri, kamu salah in mobil? Mau pindah ke mobil listrik? Yakin polusi beres? Pln aja masih batu bara. 🤡🤡🤡","Dec 20, 2023 · 9:22 PM UTC",0,0
https://twitter.com/naonsihbray/status/1736667526833315875#m,"Udah dijawab, pak anies nggak akan lanjutin subsidi mobil listrik, tapi subsidi tersebut dipindahkan porsinya untuk transport umum. Karena mobil listrik ada untuk menjawab masalah polusi udara, sehingga seharusnya yg dilakukan adalah mengubah habit orang utk naik transport umum","Dec 18, 2023 · 8:39 AM UTC",0,0
https://twitter.com/BFaydan/status/1736265937870069880#m,"Ngakak sih denger iklan mobil listrik ngaku zero emission. Emang sumber listrik lo dari mana oy, dari generator yg dipasang di rotary door?  Sumber listriknya aja bikin jakarta dkk polusi sampe kasus ispa melonjak 🤣🤣🤣","Dec 17, 2023 · 6:03 AM UTC",0,0
https://twitter.com/aridan_fawziyya/status/1735911183813861763#m,"Iya jg y. Kukira mobil listrik tu tenaga surya yg dirujuk jd bebas polusi udara, tp makenya listrik yg itu y..","Dec 16, 2023 · 6:34 AM UTC",0,0
https://twitter.com/alwaysNangis2/status/1735655243596419083#m,"Ya kl bus listrik ttg vs bus bbm. Nah kata anies jejak karbon mobil listrik lebh tinggi dari bbm. Artinya jejak karbon bus listrik tentu dong lbh tinggi dr bus bbm. nah kok malah elektrifikasi bus utk mengurangi polusi? Sebuah cacat logika, atau  cmn asal bacot aja","Dec 15, 2023 · 1:37 PM UTC",0,2
https://twitter.com/vitorisena/status/1735615047815352479#m,"Kebakaran hutan emang bikin polusi di mama mana, makanya solusinya adalah mobil listrik","Dec 15, 2023 · 10:57 AM UTC",2,0
https://twitter.com/latif_khairul/status/1735600639793889322#m,"Hasil Proyek Pakde, Opung sma mentri yg jdi ketua demokrat bikin mobil listrik utk cegah Polusi emisi tapi PLTU nya di perbanyak,","Dec 15, 2023 · 10:00 AM UTC",0,0
https://twitter.com/AryovvP/status/1735584597361164667#m,Motors. Diharapkan mobil listrik ini dapat memberikan kontribusi positif dalam mengurangi polusi udara dan menjaga keberlanjutan lingkungan.,"Dec 15, 2023 · 8:56 AM UTC",0,0
https://twitter.com/Yessi_Bayu/status/1735581650917224750#m,"Peminat mobil listrik banyak jg nih, bagus sih bisa mengurangi polusi udara jg   #WulingBinguoEV","Dec 15, 2023 · 8:44 AM UTC",0,1
https://twitter.com/Vitaardi2008/status/1735578238058127588#m,"Wuling kali  meluncurkan mobil listrik  yang berbeda ..baik dari segi desain, eksterior dan interior nya juga...biar dunia bebas polusi y..Mobil listrik nya tuh keren banget loh.. #WulingBinguoEV","Dec 15, 2023 · 8:31 AM UTC",1,1
https://twitter.com/sikembar1330610/status/1735575167915720871#m,"Wuling kali  meluncurkan mobil listrik  yang berbeda ..baik dari segi desain, eksterior dan interior nya juga...biar dunia bebas polusi y..Mobil listrik nya tuh keren banget loh.. #WulingBinguoEV","Dec 15, 2023 · 8:19 AM UTC",1,0
https://twitter.com/AdzkiyaThalita/status/1735564243460817279#m,Seharusnya sih kita sudah beralih ke mobil listrik untuk mengurangi polusi udara #WulingBinguoEV,"Dec 15, 2023 · 7:35 AM UTC",1,0
https://twitter.com/Herawatiy81/status/1735563833656455614#m,"per­tumbuhan mobil listrik di Tanah Air semakin subur dan mencatat peningkatan yang signifikan, ini membantu upaya untuk meningkatkan bebasnya polusi udara #WulingBinguoEV","Dec 15, 2023 · 7:33 AM UTC",1,0
https://twitter.com/rayyan0109/status/1735558322202521851#m,"Wuling kali  meluncurkan mobil listrik  yang berbeda ..baik dari segi desain, eksterior dan interior nya juga...biar dunia bebas polusi y..Mobil listrik nya tuh keren banget loh.. #WulingBinguoEV","Dec 15, 2023 · 7:12 AM UTC",3,0
https://twitter.com/alwaysNangis2/status/1735534725216023014#m,Lht sepotong palalu. Ak ntn debat full. Kalian yg lht sepotong. Dulu anies jg blg jejak karbon dari mobil listrik itu lbh tinggi dari mobil bbm. Skrg malah bilang elektrifikasi utk tekan polusi. Lidah ga bertulang. Cmn yg modelan kalian aja msh percaya omongan dia,"Dec 15, 2023 · 5:38 AM UTC",0,1
https://twitter.com/saputrananda0/status/1735474060874895671#m,"Coba cek deh, semua berita,, kenapa anies menolak mobil listrik. Karena pemerintah men-subsidi mobil listrik. Solusi soal polusi udara bukan memberikan subsidi mobil listrik. Justru anies lebih  ke subsidi transportasi umum... Yang beli mobil listrik justru orang2 kaya dan mampu.","Dec 15, 2023 · 1:37 AM UTC",0,0
https://twitter.com/_antithesis_/status/1735180046955159737#m,"Pemerintah sebenernya tau penghasil polusi terbesar itu dari electric power, mereka lg mikir ngalihin energi dari batu bara ke yg ramah lingkungan. Jd sblm energi alternatif ada jgn buru2 suruh pindah ke motor/mobil listrik dulu lah, sama aja bikin konsumsi listrik makin gede","Dec 14, 2023 · 6:08 AM UTC",1,1
